,Unnamed: 0,url,expose_id,city,living_space,purchase_price,monthly_price,notary_costs,entry_land_register,land_transfer,broker_commission_percentage,broker_commission,total_additional_costs,foreclosure,rent_price_index,price_per_m2,total_purchase_price,equity,debt,interest_rate_monthly,mortgage_payment_yearly,mortgage_payment_monthly,monthly_rent,additional_costs,cashflow,ROI
0,0,https://www.immobilienscout24.de/expose/121956443,121956443,Magdeburg,69.91,67000.0,176.0,1005.0,335.0,3350.0,5.8,3886.0,8576.0,False,7.17,958.3750536403948,75576.0,15115.2,60460.8,50.38400000000001,1209.216,100.768,501.2547,62.919,287.18369999999993,0.22799595109558585
3,3,https://www.immobilienscout24.de/expose/120056983,120056983,Magdeburg,49.76,59900.0,164.0,898.5,299.5,2995.0,10.02,6001.98,10194.98,False,6.05,1203.7781350482314,70094.98,14018.996000000001,56075.984000000004,46.72998666666666,1121.51968,93.45997333333332,301.048,44.784,116.07404000000002,0.09935722073107092
4,4,https://www.immobilienscout24.de/expose/121014609,121014609,Magdeburg,69.2,89000.0,242.0,1335.0,445.0,4450.0,8.99,8001.1,14231.1,False,7.17,1286.1271676300578,103231.1,20646.22,82584.88,68.82073333333334,1651.6976000000002,137.64146666666667,496.164,62.28,227.42179999999996,0.13218214278449028
6,6,https://www.immobilienscout24.de/expose/122623396,122623396,Magdeburg,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.75,31.5,180.25,inf
8,8,https://www.immobilienscout24.de/expose/122513361,122513361,Magdeburg,39.45,59000.0,136.0,885.0,295.0,2950.0,0.0,0.0,4130.0,False,6.05,1495.5640050697086,63130.0,12626.0,50504.0,42.086666666666666,1010.08,84.17333333333333,238.6725,35.505,76.9075,0.07309440836369396
9,9,https://www.immobilienscout24.de/expose/116738740,116738740,Magdeburg,64.0,90000.0,208.0,1350.0,450.0,4500.0,0.0,0.0,6300.0,False,7.17,1406.25,96300.0,19260.0,77040.0,64.2,1540.8,128.4,458.88,57.6,208.68,0.13001869158878504
11,11,https://www.immobilienscout24.de/expose/122371562,122371562,Magdeburg,47.58,98000.0,236.0,1470.0,490.0,4900.0,3.48,3410.4,10270.4,False,6.05,2059.6889449348473,108270.4,21654.08,86616.31999999999,72.18026666666667,1732.3264,144.36053333333334,287.85900000000004,42.821999999999996,28.496199999999963,0.015791684523193756
12,12,https://www.immobilienscout24.de/expose/122057837,122057837,Magdeburg,43.0,67000.0,178.0,1005.0,335.0,3350.0,6.95,4656.5,9346.5,False,6.05,1558.139534883721,76346.5,15269.3,61077.2,50.89766666666666,1221.544,101.79533333333332,260.15,38.7,68.757,0.05403548296254576
14,14,https://www.immobilienscout24.de/expose/119368847,119368847,Magdeburg,45.0,75000.0,199.0,1125.0,375.0,3750.0,6.96,5220.0,10470.0,False,6.05,1666.666666666667,85470.0,17094.0,68376.0,56.98,1367.52,113.96,272.25,40.5,60.81000000000002,0.04268866268866271
17,17,https://www.immobilienscout24.de/expose/47583875,47583875,Magdeburg,69.0,94990.0,220.0,1424.85,474.95,4749.5,0.0,0.0,6649.3,False,7.17,1376.666666666667,101639.3,20327.86,81311.44,67.75953333333334,1626.2288,135.51906666666667,494.73,62.1,229.3514,0.13539136928333825
